distrito,year_date_of_spill_edit,mes_date_of_spill_edit,dia_date_of_spill_edit,release_prod_wtr,operator_rp,tipo_operacion_rrc,probable_cause,probable_cause_edit,spill_sustancias,release_crude_oil,release_cond,release_gas,recovery_crude_oil,recovery_cond,recovery_prod_wtr,affected_area,grado_sensibilidad_area,sensibilidad_area,cleanup_method,metodos_aplicados
17/1/2018,17.0,17/1/2018,17/1/2018,420,DRISCOLL,,MECHANICAL FAILURE,25,116212,1050,0.0,0,0,0,0,1,,NO,,
22/2/2018,22.0,22/2/2018,22/2/2018,0,L19 SOUTH 10 INCH LINE,,0,0,120686,15,,,0,,H-8,,,NO,,
30/3/2018,30.0,31/3/2018,31/3/2018,0,GATES 05D,,0,0,125348,20,,,10,,H-8,,,NO,,
24/4/2018,24.0,25/4/2018,25/4/2018,200,EOG RESOURCES,,INTERNAL CORROSION,CORROSION,128982,0,0.0,0,0,0,0,2,2,,,
3/5/2018,3.0,3/5/2018,3/5/2018,1,RLU OPERATING,,MECHANICAL FAILURE,MECHANICAL FAILURE,130133,10,0.0,0,0,0,0,1,1,,,
3/5/2018,3.0,4/5/2018,4/5/2018,185,SN OPERATING,,MECHANICAL FAILURE,MECHANICAL FAILURE,130156,0,15.0,0,0,15,184,1,1,,,
12/5/2018,12.0,13/5/2018,13/5/2018,4956,DCP MIDSTREAM,,CORROSION,,131183,,7.0,,,5,4410,1,,NO,,
21/6/2018,21.0,23/6/2018,23/6/2018,0,BENTSEN GAS UNIT,,0,0,136369,0,,,0,,OTHER RPT,,,NO,,
1/7/2018,1.0,1/7/2018,1/7/2018,1.5,EOG RESOURCES,,INTERNAL CORROSION,CORROSION,137375,0,3.5,0,0,1,0,1,1,,,
7/7/2018,7.0,7/7/2108,7/7/2108,1050,JETTA OPERATING COMPANY,,WEATHER,0,138089,0,0.0,0,0,0,0,1,,NO,,
23/7/2018,23.0,24/7/2018,24/7/2018,0,WILLAMAR WEST UNIT,,30,1260,140244,0,,,0,,OTHER RPT,,,NO,,
,,,,,,,,,,,,,,,,,,,,
17/8/2018,17.0,17/8/2018,17/8/2018,490,WHITE MARLIN OPERATING CO,,INTERNAL CORROSION,CORROSION,143374,0,10.0,0,0,0,0,1,1,,,
28/8/2018,28.0,29/8/2018,29/8/2018,10,EOG RESOURCES,,OPERATOR-HUMAN ERROR,HUMAN ERROR,144903,5,0.0,0,2,0,2,1,1,,,
7/9/2018,7.0,10/9/2018,10/9/2018,145,LEWIS PETRO PROPERTIES,,INTERNAL CORROSION,CORROSION,146152,0,48.0,0,0,33,98,1,1,,,
,,,,,,,,,,,,,,,,,,,,
24/9/2018,24.0,24/9/2018,24/9/2018,0,GPL-64-2-1,,0,0,148186,0,,,0,,OTHER RPT,,,NO,,
1/10/2018,1.0,1/10/2018,1/10/2018,1260,JETTA OPERATING COMPANY,,CORROSION,0,149072,0,0.0,0,0,0,1260,1,,NO,,
11/10/2018,11.0,11/10/2018,11/10/2018,6300,BENAVIDES,,CORROSION,0,150516,0,15.0,0,0,0,0,1,,NO,,
17/10/2018,17.0,17/10/2018,17/10/2018,1600,VAC-STOP SWD,,THEFT/VANDALISM,THEFT / VANDALISM,151091,3,0.0,0,2,0,1600,1,1,,,
17/10/2018,17.0,17/10/2018,17/10/2018,100,LEWIS PETRO PROPERTIES,,MECHANICAL FAILURE,MECHANICAL FAILURE,151166,0,0.0,0,0,0,0,1,1,,,
22/10/2018,22.0,22/10/2018,22/10/2018,0,KELSEY GAS GATHERING,,0,0,151790,1,,,0,,OTHER RPT,,,NO,,
24/11/2018,24.0,24/11/2018,24/11/2018,0.25,TRYALL,,EXTERNAL CORROSION,CORROSION,155786,0.25,0.0,0.1,0,0,0,5,5,,,
11/12/2018,11.0,18/12/2018,18/12/2018,1.5,EOG RESOURCES,,INTERNAL CORROSION,CORROSION,159483,1,0.0,0,0,0,0,2,2,,,
8/2/2019,8.0,8/2/2019,8/2/2019,3150,L.P.,,MECHANICAL FAILURE,4,165683,168,0.0,0,168,0,3150,1,,NO,,
27/3/2019,27.0,27/3/2019,27/3/2019,,ELLEN C,WHP,,,171793,,,,,,OTHER RPT,,,NO,,
3/5/2019,3.0,3/5/2019,3/5/2019,0,EL GATO,,0,0,176755,0,,,0,,OTHER RPT,,,NO,,
10/5/2019,10.0,10/5/2019,10/5/2019,12600,VILLAREAL,,MECHANICAL FAILURE,0,177430,0,0.0,0,0,0,0,,,NO,,
31/5/2019,31.0,31/5/2019,31/5/2019,0,BRISCOE RANCH,,0,0,179932,20,,,0,,OTHER RPT,,,NO,,
5/6/2019,5.0,6/6/2019,6/6/2019,250,EOG RESOURCES,,MECHANICAL FAILURE,MECHANICAL FAILURE,180606,0,0.0,,0,0,250,1,1,,,
18/7/2019,18.0,18/7/2019,18/7/2019,5.04,DCP MIDSTREAM,,CORROSION,0,186295,0,,0,0,0,0,4,,YES,,
13/8/2019,13.0,13/8/2019,13/8/2019,168,DCP MIDSTREAM,,UNKNOWN,1,189901,42,,,0,0,0,1,,NO,,
1/8/2019,1.0,2/8/2019,2/8/2019,,ZAMORA-STATE,,,,188527,7.42,,,7.12,,OTHER RPT,,,NO,,
,,,,,,,,,,,,,,,,,,,,
7/9/2019,7.0,7/9/2019,7/9/2019,2730,INC.,,CORROSION,,193187,,10.0,,,7,2310,1,,NO,,
21/4/2020,21.0,21/4/2020,21/4/2020,80,CHESTNUT EXPLOR. AND PROD.,,MECHANICAL FAILURE,MECHANICAL FAILURE,220676,60,,,36,,,1,1,,,
22/8/2022,22.0,23/8/2022,23/8/2022,0,ROSE,,4,168,314271,0,,,0,,OPERATOR,LAND,NON-SENSITIVE,NO,,
18/9/2022,18.0,19/9/2022,19/9/2022,630,SHAW,,CORROSION,15,317006,630,0.0,0,0,0,0,,WET/FLOWING WATERWAY,YES,,
7/11/2022,7.0,7/11/2022,7/11/2022,0,MANGHAM UNIT,,0,0,323910,3,,,0,,OPERATOR,LAND,SENSITIVE,YES,,
21/11/2022,21.0,21/11/2022,21/11/2022,600,COMSTOCK OIL & GAS,,MECHANICAL FAILURE,MECHANICAL FAILURE,325677,0,0.0,0,0,0,0,LAND--NON-SENSITIVE AREA,,NON-SENSITIVE,,
5/12/2022,5.0,5/12/2022,5/12/2022,0,LAKE FERRELL UNIT,,10,420,327190,0,,,0,,OPERATOR,LAND,NON-SENSITIVE,NO,,
16/12/2022,16.0,16/12/2022,16/12/2022,0,BECKVILLE COMPRESSOR STATION,,0,0,328999,100,,,0,,OPERATOR,WET/FLOWING WATERWAY,,YES,,
18/12/2022,18.0,18/12/2022,18/12/2022,0,HAWKINS FIELD UNIT DISP,,0,0,329007,0,,,0,,VERBAL,WET/FLOWING WATERWAY,,YES,,
10/5/2021,10.0,10/5/2012,10/5/2012,6300,LLC,,CORROSION,<1,2012-6E-1292,42,,,,,,1,,NO,,
16/2/2013,16.0,16/2/2013,16/2/2013,50,ZONE ENERGY,,MECHANICAL FAILURE,MECHANICAL FAILURE,2013-6E-414,10,,,,,,1,1,,,
27/2/2013,27.0,28/2/2013,28/2/2013,100,QUANTUM RESOURCES MANAGEMENT,,OPERATOR-HUMAN ERROR,HUMAN ERROR,2013-6E-0504,20,,,20,,100,1,1,,,
11/3/2013,11.0,11/3/2013,11/3/2013,,JOHN GRESHAM UNIT,,15,630,2013-03-2313,,,,,,,,,NO,,
22/3/2013,22.0,22/3/2013,22/3/2013,252,LLC,,CORROSION,4,2013-6E-707,168,,,,,,3,,,,
,,,,,,,,,,,,,,,,,,,,
15/4/2013,15.0,15/4/2013,15/4/2013,37800,INC.,,UNKNOWN,20,2013-06-3784,840,,,,,,3,,YES,,
26/4/2013,26.0,26/4/2013,26/4/2013,20,HOPEWELL OPERATING,,MECHANICAL FAILURE,MECHANICAL FAILURE,2013-06-4174,10,,,5,,,2,2,,,
,,,,,,,,,,,,,,,,,,,,
17/5/2013,17.0,17/5/2013,17/5/2013,,ROUGH RIDERS # 1H,,100,4200,2013-03-5002,,,,,,,,,NO,,
31/5/2013,31.0,31/5/2013,31/5/2013,25,ZONE ENERGY,,EXTERNAL CORROSION,CORROSION,2013-6E-1520,<1,,,,,,1,1,,,
,,,,,,,,,,,,,,,,,,,,
